PM2.5,PM10,NO2,SO2,CO,O3,AQI
46.01,85.29,30.7,3.23,0.44,51.57,85.29
41.7,78.27,31.03,2.74,0.41,47.91,78.27
42.31,81.84,35.48,3.06,0.53,45.1,81.84
34.91,68.8,32.36,2.33,0.5,34.32,68.8
24.15,55.9,28.72,1.33,0.44,33.79,55.9
26.33,60.62,33.19,1.13,0.43,32.53,60.62
33.41,87.73,40.82,3.38,0.47,30.84,87.73
55.03,109.64,42.66,3.59,0.63,43.89,106.7406711409396
61.01,120.06,41.11,7.12,0.51,55.62,113.66402684563758
60.01,130.7,43.31,11.91,0.54,48.65,120.73355704697985
47.98,101.07,36.13,5.98,0.51,48.43,101.04651006711408
35.72,69.57,28.32,2.55,0.44,38.69,69.57
41.24,65.45,26.73,2.84,0.41,32.44,68.30206896551725
28.7,55.67,30.58,2.54,0.44,28.3,55.67
25.76,60.96,31.18,1.94,0.52,35.53,60.96
39.64,89.82,44.13,3.26,0.74,41.94,89.82
58.21,121.71,46.46,5.81,0.75,45.58,114.76033557046979
62.1,131.32,43.08,8.67,0.64,52.97,121.14550335570469
63.16,124.29,49.63,8.27,0.72,43.96,116.47456375838927
53.48,110.93,46.89,7.65,0.67,41.07,107.59778523489933
51.75,112.34,39.66,8.79,0.56,45.46,108.53463087248322
46.14,95.26,38.24,10.8,0.65,45.38,95.26
43.49,94.42,37.83,7.17,0.56,44.88,94.42
47.38,99.85,56.23,7.19,0.7,40.23,99.85
49.24,115.08,68.25,14.2,0.92,42.11,110.3551677852349
47.09,109.76,58.66,7.8,0.72,52.88,106.82040268456376
39.84,84.65,40.32,3.93,0.45,59.13,84.65
53.01,100.28,38.65,5.25,0.47,62.88,88.18931034482759
64.35,114.04,41.1,4.45,0.56,56.52,112.43620689655171
48.02,96.85,34.72,4.16,0.48,64.83,96.85
48.1,100.1,37.86,3.14,0.55,58.17,79.89310344827587
63.97,121.41,40.63,3.47,0.65,53.91,114.56100671140939
54.08,110.67,54.3,5.18,0.76,44.91,107.42503355704699
69.72,132.43,44.56,5.33,0.66,53.1,130.76827586206895
68.34,135.06,42.56,7.07,0.54,60.43,126.05724137931036
57.16,114.03,38.71,10.26,0.48,66.97,109.65751677852349
46.2,108.35,45.77,11.72,0.54,64.06,105.88355704697986
46.88,117.04,62.19,9.67,0.76,66.97,111.65744966442954
69.77,148.27,63.3,6.57,0.83,70.68,132.40758389261745
71.77,136.35,48.42,4.93,0.67,76.49,137.7665517241379
79.5,154.59,50.61,4.27,0.73,70.41,164.1551724137931
79.03,173.82,62.88,6.93,0.98,60.93,162.55068965517242
74.25,165.79,59.81,7.81,0.9,57.48,146.23275862068965
75.25,159.81,52.92,3.73,0.87,69.76,149.64655172413794
77.42,158.99,43.32,3.43,0.71,88.19,157.05448275862068
80.15,157.26,38.63,2.17,0.64,102.43,166.3741379310345
79.72,153.58,38.91,3.52,0.63,82.56,164.9062068965517
79.15,157.48,35.42,1.76,0.66,92.79,162.96034482758623
81.17,150.01,36.11,2.32,0.71,78.75,169.85620689655173
78.96,149.17,38.76,2.53,0.71,92.09,162.311724137931
55.99,111.39,36.93,1.98,0.58,73.21,107.90342281879195
40.4,85.4,34.98,1.74,0.5,58.03,85.4
41.18,80.64,35.57,2.22,0.61,40.38,80.64
45.84,89.19,45.07,3.58,0.73,38.08,89.19
51.48,101.9,35.54,1.44,0.55,50.47,101.59798657718122
29.0,67.43,35.86,1.21,0.46,44.85,67.43
38.46,84.88,39.89,2.0,0.55,47.99,84.88
61.81,133.62,62.44,4.54,0.93,43.01,122.67369127516778
64.44,147.98,57.96,7.33,1.0,37.52,132.21489932885905
66.36,132.62,47.54,3.85,0.77,51.05,122.00926174496645
58.83,100.79,34.28,1.26,0.56,54.93,98.02310344827586
74.84,129.18,35.62,3.14,0.67,58.28,148.24689655172415
66.6,118.25,37.85,1.91,0.62,54.68,120.11724137931033
53.25,101.32,35.21,2.7,0.47,57.86,101.21261744966442
45.68,87.28,29.41,1.4,0.45,52.11,87.28
51.69,102.35,38.61,2.2,0.62,42.91,101.89697986577181
48.67,104.67,43.6,3.9,0.6,54.51,103.43845637583892
52.16,125.53,42.32,3.64,0.61,48.2,117.29845637583892
61.17,134.89,46.12,5.75,0.7,53.23,123.51751677852349
66.99,133.89,34.25,2.49,0.57,72.19,122.85308724832214
50.0,109.65,34.47,1.58,0.58,75.92,106.74731543624162
