PM2.5,PM10,NO2,SO2,CO,O3,AQI
64.46,139.81,22.5,9.2,0.94,28.64,126.7865100671141
73.56,171.1,28.73,9.2,1.24,28.95,147.5765100671141
64.36,130.26,24.72,9.2,0.98,37.29,120.44120805369127
61.77,109.37,15.26,10.63,0.8,43.2,106.56127516778524
73.9,114.34,9.28,10.68,0.72,73.82,145.03793103448277
59.71,108.66,9.38,10.09,0.72,83.85,106.08953020134228
62.59,122.13,10.42,15.47,0.74,62.28,115.03939597315436
33.0,56.0,12.6,18.4,0.48,20.83,56.0
68.22,124.85,11.89,19.2,0.81,83.14,125.64758620689655
63.92,137.39,22.75,18.3,1.07,64.29,125.17859060402684
58.32,106.04,13.85,18.65,0.79,90.56,104.34872483221477
55.98,108.57,11.8,12.48,0.77,93.62,106.02973154362415
66.53,118.06,12.73,12.03,0.83,92.21,119.87827586206896
71.11,113.85,24.29,16.38,0.79,74.92,135.51344827586206
75.93,122.28,33.63,8.58,0.66,75.23,151.96793103448277
57.19,96.63,28.57,10.79,0.71,71.71,96.63
53.23,94.54,39.55,14.26,0.81,66.69,94.54
60.31,135.59,76.59,12.47,1.18,50.08,123.98261744966443
80.3,209.98,83.13,10.69,1.42,47.64,173.40953020134228
111.58,290.27,35.88,15.16,1.62,52.51,271.2558620689655
121.82,295.18,35.66,17.64,1.92,44.02,301.62930232558136
107.45,238.01,32.81,14.93,1.77,60.0,257.1568965517241
114.57,253.91,33.87,39.58,1.81,65.54,281.46310344827583
105.44,215.97,24.71,12.49,1.49,54.0,250.2951724137931
91.28,143.99,10.23,9.22,1.05,54.05,201.95586206896553
66.76,116.95,11.64,8.12,1.03,53.34,120.6634482758621
76.81,128.2,9.69,8.22,1.05,70.18,154.97206896551725
91.56,145.3,7.48,11.26,1.23,68.4,202.91172413793103
85.24,146.16,6.98,20.32,1.39,66.02,183.7503448275862
79.78,150.59,9.66,18.66,1.52,77.92,165.1110344827586
97.94,246.14,17.07,13.95,1.78,56.27,224.69172413793103
109.32,297.99,20.66,8.16,1.73,57.19,263.5406896551724
107.28,256.78,18.47,13.17,1.59,65.35,256.5765517241379
121.51,288.2,17.83,8.84,1.73,75.43,301.3913953488372
159.33,304.86,15.14,18.89,1.57,70.43,330.41604651162794
156.26,294.06,14.56,15.57,1.15,68.56,328.06
143.91,272.87,12.31,11.92,1.13,75.71,318.5820930232558
136.06,263.51,21.04,9.27,1.21,54.51,312.5576744186047
119.7,247.42,50.59,7.5,1.23,63.0,298.9758620689655
90.78,182.3,49.57,9.3,0.64,68.44,155.01812080536914
102.26,178.6,63.09,19.13,0.74,88.82,239.43931034482762
116.55,215.61,68.53,3.63,1.01,72.68,288.22241379310344
115.47,210.34,39.55,3.94,0.96,76.36,284.5355172413793
110.2,199.56,50.1,5.57,0.98,62.04,266.5448275862069
80.61,145.88,32.56,10.88,0.76,55.64,167.94448275862067
80.59,162.99,39.72,15.03,0.78,35.76,167.87620689655174
71.92,126.66,37.69,16.81,0.84,34.79,138.27862068965518
64.73,131.88,25.12,15.16,0.76,30.54,121.51758389261745
37.57,80.08,34.15,15.72,0.54,23.13,80.08
48.61,93.15,37.75,15.29,0.7,25.43,93.15
68.93,175.94,74.88,17.31,1.4,23.2,150.79234899328858
101.84,259.36,94.44,16.71,1.75,30.29,238.00551724137932
101.04,263.3,76.64,13.96,1.45,28.14,235.2744827586207
129.03,261.14,80.6,18.08,2.11,25.01,307.1625581395349
77.43,134.47,34.01,14.49,0.86,28.43,157.0886206896552
82.11,166.72,48.42,18.41,0.98,30.01,173.0651724137931
69.75,149.6,44.23,20.77,0.7,27.92,133.29127516778522
73.08,113.64,43.45,18.03,0.72,31.06,142.23862068965516
83.93,134.86,24.89,17.4,0.71,38.2,179.278275862069
83.11,147.42,41.76,2.18,0.84,53.96,176.47896551724136
100.52,226.9,72.3,10.05,1.14,24.46,233.49931034482756
91.91,177.29,58.38,16.81,1.07,27.05,204.10655172413792
93.37,156.72,27.69,15.29,0.82,32.62,209.09068965517244
80.48,155.79,48.05,14.67,0.92,28.35,167.50068965517244
90.02,176.73,46.73,16.04,0.99,24.37,151.31724832214763
68.07,136.49,52.34,15.95,0.86,17.5,125.13551724137929
62.51,126.18,47.57,17.02,0.7,16.34,117.7303355704698
69.92,145.15,26.27,16.06,0.84,21.44,131.45103448275862
81.59,173.2,41.89,12.5,0.88,27.26,171.29000000000002
77.6,144.53,26.88,16.55,0.76,34.91,157.66896551724136
89.11,204.99,55.09,13.99,0.88,31.2,196.96172413793101
72.76,124.98,22.89,17.44,0.83,32.4,141.14620689655175
111.58,183.23,33.28,16.38,1.09,27.17,271.2558620689655
82.58,148.84,47.17,17.24,0.84,39.71,174.6696551724138
81.75,239.27,79.33,11.61,1.52,27.56,192.8706711409396
68.49,238.68,71.85,10.73,0.34,28.25,192.47865771812081
74.97,234.63,67.99,7.01,0.35,30.17,189.78771812080538
74.43,208.49,66.41,9.16,0.36,33.46,172.4195302013423
73.83,206.15,49.56,9.58,0.37,28.78,170.86476510067115
58.84,100.12,34.24,12.36,0.31,29.47,98.04
86.17,193.68,60.2,13.77,0.38,37.28,186.92517241379312
76.72,175.02,53.75,11.33,0.38,42.83,154.66482758620688
72.97,138.87,46.94,11.14,0.38,34.18,141.86310344827587
53.51,120.6,38.29,10.7,0.38,38.7,114.0228187919463
34.17,105.05,42.78,14.68,0.15,14.5,103.69093959731543
42.37,118.34,49.21,11.36,0.01,13.73,112.52120805369128
43.69,125.92,54.34,11.96,0.05,12.85,117.55758389261746
54.57,139.72,54.75,10.51,0.0,12.61,126.72671140939597
68.75,140.69,34.37,13.15,0.28,28.07,127.45689655172414
58.44,113.23,26.44,13.64,0.64,22.48,109.12597315436241
52.13,103.36,30.32,14.35,1.15,29.12,102.56805369127517
44.28,87.28,28.36,13.94,0.56,25.69,87.28
50.37,102.19,33.29,14.28,0.69,26.38,101.7906711409396
53.31,165.55,61.94,12.83,0.83,31.2,143.88892617449665
76.56,215.61,57.6,11.21,1.01,23.48,177.15026845637584
61.07,147.16,51.63,9.89,0.84,15.1,131.67006711409397
52.01,131.08,48.97,11.79,0.77,15.42,120.98604026845638
62.1,147.43,47.65,11.14,0.75,15.05,131.84946308724832
64.35,150.28,41.52,10.2,0.99,14.21,133.74308724832215
52.4,134.77,39.92,11.69,0.75,11.7,123.43778523489934
36.61,104.98,46.71,10.56,0.6,10.73,103.64442953020135
46.89,141.33,56.84,9.93,0.76,10.73,127.79644295302015
56.57,162.0,60.86,13.53,0.88,19.25,141.53020134228188
52.73,160.76,60.56,10.12,0.98,15.29,140.7063087248322
56.16,179.46,60.35,11.84,0.88,13.5,153.13114093959732
45.85,152.25,59.3,6.45,0.89,12.57,135.0520134228188
35.28,100.95,43.61,8.39,0.63,10.73,58.23172413793104
22.75,68.9,32.91,8.53,0.59,10.57,68.9
19.25,83.94,38.86,8.01,0.8,10.35,83.94
19.9,88.28,36.03,8.79,0.7,10.4,88.28
19.98,81.81,35.56,7.37,0.76,10.26,81.81
24.68,86.12,38.23,8.45,0.68,11.24,86.12
18.85,61.5,37.31,7.86,0.63,12.98,61.5
13.64,51.06,20.2,9.45,0.48,15.48,51.06
22.62,87.45,32.91,10.44,0.53,16.17,87.45
42.61,100.43,38.25,7.92,0.81,14.48,70.61689655172414
52.77,119.78,46.27,7.41,0.76,12.47,113.47798657718121
52.55,117.62,46.79,8.32,0.72,14.16,112.04281879194632
56.27,133.19,48.02,8.12,0.8,13.78,122.38798657718121
68.71,154.92,51.66,7.29,0.98,17.0,136.82604026845638
57.94,133.8,42.98,8.59,0.77,13.61,122.79328859060404
55.48,162.78,50.84,8.74,0.76,12.25,142.04845637583892
64.52,212.4,53.96,9.51,0.81,21.71,175.01744966442953
81.27,245.23,66.37,7.21,1.15,22.46,196.83067114093961
76.34,227.51,72.02,8.96,1.14,23.05,185.0569798657718
69.2,195.93,61.92,8.76,1.11,15.82,164.07429530201344
70.72,199.09,53.36,4.86,1.05,12.37,166.17389261744967
65.64,177.53,45.93,3.93,0.94,11.78,151.84879194630872
54.67,145.69,44.72,7.97,1.03,10.65,130.69335570469798
51.8,155.86,54.4,5.32,1.01,10.56,137.45060402684564
65.81,161.98,56.76,12.89,0.97,11.6,141.51691275167786
85.26,161.94,46.69,16.08,0.77,11.77,183.81862068965518
37.39,110.18,26.87,13.71,0.48,12.31,107.09946308724832
45.73,135.43,35.68,13.03,0.49,11.17,123.87630872483223
42.31,134.21,36.01,11.42,0.45,10.76,123.06570469798658
39.88,131.68,33.95,13.95,0.74,10.59,121.38469798657718
33.78,102.79,39.03,14.5,0.67,10.84,102.18932885906041
26.98,77.26,35.28,13.5,0.54,11.15,77.26
23.75,69.51,37.15,13.96,0.52,9.74,69.51
34.97,88.97,33.0,13.72,0.56,9.65,88.97
30.09,86.9,36.32,13.31,0.55,10.0,86.9
29.57,89.73,37.24,12.7,0.36,10.82,89.73
35.36,109.82,58.67,14.39,0.54,10.59,106.86026845637583
12.95,50.72,43.6,13.88,0.38,11.22,54.266666666666666
10.22,38.59,38.34,14.44,0.39,10.48,47.925000000000004
13.35,46.19,33.34,15.74,0.55,9.84,46.19
25.93,84.25,37.56,14.26,0.64,10.98,84.25
37.19,114.17,45.6,9.01,0.43,10.42,109.75053691275168
28.87,85.26,31.37,11.41,0.04,10.13,85.26
26.47,93.52,33.21,12.78,0.26,10.32,93.52
30.66,100.95,48.79,13.5,0.23,10.38,60.7874358974359
47.8,139.02,45.45,9.69,0.26,14.59,126.26161073825504
33.12,75.64,31.12,13.87,0.09,11.63,75.64
33.88,95.43,34.22,13.9,0.1,11.13,95.43
33.63,100.99,35.94,13.37,0.14,11.36,55.44379310344828
34.47,96.57,37.64,13.96,0.27,19.28,96.57
31.44,83.37,29.69,13.97,0.43,14.22,83.37
39.52,88.37,34.91,13.94,0.26,10.38,88.37
29.62,92.52,32.5,11.22,0.6,18.87,92.52
21.19,67.49,29.76,11.49,0.2,10.27,67.49
20.17,64.13,29.33,12.04,0.36,12.58,64.13
16.58,60.67,27.77,10.52,0.17,31.87,60.67
14.64,66.52,29.27,12.36,0.37,12.95,66.52
16.92,55.13,29.86,13.16,0.36,19.46,55.13
8.19,27.95,18.21,14.51,0.09,23.95,27.95
9.2,27.04,15.26,13.88,0.12,22.55,27.04
11.92,39.83,22.71,13.6,0.14,22.63,39.83
11.58,49.07,25.15,13.97,0.12,22.73,49.07
11.67,38.27,29.65,11.98,0.07,22.77,38.27
17.27,52.22,37.15,12.99,0.19,21.53,52.22
12.88,46.97,29.38,11.53,0.15,6.58,46.97
21.85,58.45,35.59,11.52,0.18,5.24,58.45
15.4,37.82,22.59,13.4,0.36,5.12,37.82
4.71,13.73,6.23,14.12,0.31,7.31,17.65
6.82,24.28,18.55,12.51,0.54,4.81,27.0
9.95,35.68,28.66,12.78,0.56,4.67,35.825
15.12,59.25,32.51,12.05,0.67,5.29,59.25
13.86,47.2,31.66,11.86,0.53,5.34,47.2
28.71,55.25,35.27,12.36,0.56,5.94,55.25
26.38,66.7,32.32,11.15,0.62,8.11,66.7
45.01,106.19,44.3,11.19,0.74,10.53,104.44838926174496
62.72,162.49,51.58,8.38,0.73,6.3,141.85577181208055
49.63,183.1,55.25,10.65,0.68,5.91,155.5496644295302
37.27,152.57,56.88,12.53,0.71,7.11,135.26463087248322
64.46,169.37,47.91,10.64,0.65,8.0,146.4270469798658
40.76,119.75,20.2,27.87,1.74,27.74,113.45805369127517
30.88,136.7,38.55,11.43,1.07,21.29,124.72013422818792
43.56,117.82,30.6,11.82,0.56,22.21,112.17570469798657
34.81,105.19,34.23,12.45,0.66,20.95,103.78395973154362
31.06,71.02,20.96,10.63,0.38,24.21,71.02
28.47,65.53,24.83,11.64,0.61,23.55,65.53
24.26,65.06,36.79,13.29,1.56,19.41,76.04444444444445
30.11,71.52,34.14,12.94,0.49,19.65,71.52
16.91,49.76,23.93,12.02,0.43,18.5,49.76
11.48,41.27,21.64,14.09,0.35,18.45,41.27
26.89,64.75,31.52,12.84,0.46,19.27,64.75
34.47,97.92,40.2,13.39,0.46,19.58,97.92
33.12,98.34,39.15,12.53,0.57,20.15,98.34
43.63,97.42,47.43,13.03,0.78,12.5,97.42
31.02,76.65,41.35,10.64,0.8,7.49,76.65
26.37,62.69,42.29,9.48,0.48,7.25,62.69
33.58,99.32,44.89,2.11,0.72,7.09,99.32
27.32,79.55,46.32,2.95,0.76,7.04,79.55
28.02,95.67,44.06,7.21,0.68,7.34,95.67
31.53,111.74,40.63,9.73,0.79,7.52,108.13597315436242
22.71,90.32,36.63,9.17,0.76,7.45,90.32
43.37,119.31,41.73,9.9,0.67,7.11,113.16570469798658
38.38,163.16,36.94,9.58,0.59,7.18,142.30093959731545
35.87,131.1,39.26,9.91,0.57,7.21,120.9993288590604
47.21,151.09,39.07,8.54,0.66,9.0,134.28127516778522
52.93,177.09,38.95,7.86,0.58,7.72,151.55644295302014
39.9,130.25,45.42,4.86,0.71,7.17,120.43456375838926
32.05,79.8,38.25,8.67,0.55,7.47,79.8
30.16,86.63,41.01,10.77,0.64,7.41,86.63
41.1,125.45,39.45,7.04,0.66,9.14,117.24530201342282
30.43,93.93,29.26,8.99,0.59,10.41,93.93
18.8,47.4,29.74,9.92,0.5,8.96,47.4
30.08,83.29,35.84,10.55,0.58,7.53,83.29
30.32,96.2,34.35,9.72,0.68,7.24,96.2
29.07,118.52,39.76,9.53,0.54,7.71,112.64080536912752
26.65,80.36,39.96,9.3,0.76,7.3,80.36
22.9,71.26,36.43,10.36,0.5,7.42,71.26
33.96,81.62,42.03,9.57,0.61,8.05,81.62
29.52,91.1,44.18,10.27,0.59,7.43,91.1
35.39,101.87,44.86,8.79,0.84,8.22,101.57805369127517
44.06,118.55,46.47,7.4,0.68,7.6,112.66073825503355
37.61,129.34,57.16,8.78,0.93,7.65,119.82993288590605
47.21,142.13,58.57,6.3,1.07,10.09,128.3279865771812
30.16,77.52,49.79,8.9,0.79,8.52,77.52
20.22,45.47,26.85,10.79,0.69,16.61,45.47
6.01,18.92,8.7,12.4,0.59,17.92,29.5
23.28,62.06,43.43,11.02,0.94,7.34,62.06
21.57,70.55,37.33,11.79,0.81,6.87,70.55
17.07,45.92,23.29,10.26,0.67,11.4,45.92
11.03,37.93,25.21,10.56,0.63,9.93,37.93
16.47,51.79,23.8,10.53,0.6,11.9,51.79
11.59,43.03,26.35,11.47,0.67,7.12,43.03
19.39,62.89,39.64,10.02,0.74,7.61,62.89
15.17,45.25,44.62,11.46,0.81,8.84,55.548205128205126
18.06,52.92,50.44,9.3,0.96,8.08,62.86051282051282
13.54,44.8,34.15,10.44,0.62,7.15,44.8
21.29,70.53,36.97,10.23,0.71,7.06,70.53
34.27,108.6,42.47,11.67,0.83,6.91,106.0496644295302
31.86,114.52,37.79,10.5,1.03,7.05,109.98308724832215
27.42,85.36,36.4,10.5,0.73,6.85,85.36
26.73,104.66,34.58,9.93,0.78,6.52,103.43181208053691
24.15,83.49,32.62,9.4,0.63,7.0,83.49
25.99,71.89,36.54,10.13,0.74,6.85,71.89
26.14,83.51,40.96,9.12,0.67,6.87,83.51
26.4,92.08,36.68,10.36,0.68,6.8,92.08
22.99,85.62,35.69,10.35,0.68,7.09,85.62
29.59,104.48,40.15,8.33,0.72,6.88,103.31221476510068
27.24,90.17,34.08,7.4,0.76,7.83,90.17
28.08,110.16,42.43,9.28,0.86,7.25,107.08617449664429
26.75,102.27,41.93,14.43,0.82,7.48,101.8438255033557
23.96,90.84,36.38,11.84,0.76,8.14,90.84
28.0,90.98,36.03,14.65,0.74,6.68,90.98
25.55,52.92,30.54,13.32,0.66,6.75,52.92
26.65,76.95,29.63,16.51,0.73,6.39,76.95
40.33,107.48,39.4,15.71,0.82,5.97,105.3055033557047
40.28,103.23,38.42,12.82,0.71,6.58,102.481677852349
29.72,104.12,35.28,14.91,0.68,10.66,103.07302013422819
28.47,70.54,31.58,14.32,0.74,27.59,70.54
25.4,71.45,33.6,16.9,0.66,18.48,71.45
29.28,79.17,41.17,16.11,0.75,10.73,79.17
32.98,79.36,44.55,12.64,0.81,9.71,79.36
36.11,103.28,35.3,12.98,0.74,7.09,102.51489932885906
31.42,94.17,37.48,17.38,0.9,6.79,94.17
28.75,80.24,43.6,14.12,0.92,6.66,80.24
31.29,89.86,42.96,12.87,1.08,6.48,89.86
22.81,54.26,32.43,15.13,0.71,7.46,54.26
18.99,55.24,28.89,15.99,0.64,7.16,55.24
21.24,72.67,32.32,16.9,0.72,6.86,72.67
34.71,91.99,34.44,15.03,0.77,6.89,91.99
48.1,87.72,42.08,16.11,0.78,7.05,87.72
46.46,92.07,44.85,11.95,0.89,9.13,92.07
42.45,118.92,60.79,12.29,0.89,9.44,112.90657718120805
41.14,103.42,44.65,14.49,0.91,9.16,102.60791946308726
39.64,94.85,34.7,14.72,0.75,11.59,94.85
21.08,51.76,24.04,13.61,0.64,14.82,51.76
15.92,40.17,30.53,14.94,0.83,10.63,41.5
19.94,67.38,29.09,13.95,0.69,12.43,67.38
17.29,56.57,20.67,16.37,0.63,14.93,56.57
17.72,67.15,24.38,15.94,0.68,13.62,67.15
26.52,91.86,29.23,16.42,0.72,15.45,91.86
21.81,54.76,29.8,18.12,0.71,13.32,54.76
14.0,33.16,38.53,15.78,0.74,8.71,48.1625
17.22,59.88,37.6,15.74,0.85,8.8,59.88
21.75,77.52,46.33,13.66,0.98,8.74,77.52
21.56,83.39,45.65,14.43,0.97,16.36,83.39
21.1,52.26,33.39,15.31,0.89,8.67,52.26
19.0,50.37,31.9,15.5,0.75,9.21,39.875
18.66,49.77,32.08,16.65,0.84,8.83,49.77
17.3,62.92,32.65,16.36,0.75,8.89,62.92
22.51,120.96,31.68,17.32,0.86,9.07,114.2620134228188
24.66,108.32,37.56,15.07,0.92,10.63,105.86362416107382
28.37,110.13,37.66,13.29,0.73,17.83,107.06624161073825
37.67,127.33,37.14,14.7,0.72,23.94,118.49442953020134
34.34,131.07,52.08,11.24,0.86,20.36,120.97939597315435
34.48,96.73,44.57,17.25,0.76,22.36,96.73
48.54,153.71,50.63,10.61,0.91,21.7,136.02208053691277
41.64,127.62,38.89,14.66,1.03,14.9,118.68711409395974
32.03,91.15,29.9,15.58,0.82,9.46,91.15
24.91,72.89,25.84,16.34,0.85,9.35,72.89
25.25,60.36,28.69,16.06,0.73,13.53,60.36
26.7,79.57,50.16,15.29,0.85,20.98,79.57
32.72,95.17,51.12,8.65,0.7,11.91,95.17
8.42,40.62,24.11,15.28,0.41,20.69,40.62
28.01,64.76,62.24,9.9,1.44,12.12,77.68615384615384
36.59,104.31,51.26,8.32,1.27,20.02,103.19926174496645
25.62,89.84,29.05,10.11,0.68,16.94,89.84
12.52,56.73,16.44,11.86,0.43,12.99,56.73
14.2,53.73,17.85,14.17,0.38,15.35,53.73
10.46,43.67,20.77,14.09,0.48,14.0,43.67
16.33,41.72,24.52,9.16,0.52,14.31,41.72
20.71,76.87,21.83,9.8,0.33,12.52,76.87
1.9,10.92,8.64,15.69,0.24,15.51,19.6125
10.79,57.24,22.94,11.63,0.37,17.06,57.24
20.64,85.84,37.27,9.2,0.57,14.08,85.84
42.23,113.82,45.51,8.03,0.67,25.6,109.5179865771812
63.37,154.25,44.83,8.83,0.58,26.8,136.38087248322148
69.91,162.29,41.32,11.44,0.59,39.45,141.72288590604026
93.0,206.64,56.97,9.37,0.91,29.97,207.82758620689654
105.79,236.87,52.29,10.53,0.78,37.68,251.49
86.39,206.16,67.9,9.54,1.11,32.37,187.67620689655172
64.45,105.63,35.53,10.98,0.73,15.37,112.77758620689656
12.82,30.95,13.31,14.59,0.53,21.36,30.95
45.43,94.86,36.8,10.06,0.83,23.56,94.86
25.78,64.94,31.37,12.55,0.67,16.73,64.94
51.83,125.47,47.93,9.55,1.04,19.18,117.25859060402685
83.25,202.73,79.85,7.65,2.0,16.34,176.95689655172413
68.55,137.82,41.35,8.77,0.89,25.97,126.77413793103447
63.21,124.85,38.53,9.66,0.9,25.03,116.84664429530201
35.09,102.2,30.79,13.06,0.74,24.8,101.79731543624162
43.62,99.47,22.49,12.17,0.65,41.25,99.47
50.5,165.43,43.13,12.74,0.89,47.96,143.8091946308725
54.32,176.83,39.03,8.29,0.78,35.99,151.3836912751678
56.55,108.86,18.86,13.35,0.73,36.01,106.22241610738254
66.83,120.49,13.52,13.93,0.74,28.14,120.90241379310345
36.46,66.97,13.93,14.02,0.67,22.15,66.97
13.12,31.39,11.93,13.36,0.51,20.14,31.39
37.3,71.14,18.25,23.49,0.71,33.08,71.14
42.28,75.56,13.66,23.06,0.6,36.94,75.56
16.12,32.02,13.61,22.58,0.46,24.92,32.02
27.4,47.73,21.33,24.49,0.57,24.39,47.73
63.36,90.46,22.55,42.75,0.56,30.49,109.05655172413793
55.66,95.18,16.45,18.28,0.62,49.33,95.18
82.18,133.36,19.78,18.9,0.7,62.76,173.30413793103452
74.76,132.5,32.39,17.46,0.84,67.58,147.9737931034483
68.32,132.6,28.21,16.55,0.82,63.47,125.98896551724135
80.46,133.19,26.68,17.05,0.85,73.58,167.43241379310342
84.59,142.3,18.19,17.24,0.86,55.28,181.53137931034485
54.01,85.08,20.48,17.09,0.67,18.09,89.87896551724137
15.95,22.84,18.7,17.39,0.53,13.52,26.583333333333332
11.62,18.72,21.26,17.29,0.54,13.49,27.0
5.29,22.89,17.58,16.94,0.45,14.7,22.89
9.57,24.38,14.35,17.08,0.42,16.03,24.38
15.62,31.85,17.79,16.9,0.54,16.11,31.85
52.51,88.23,10.79,17.7,0.6,25.89,88.23
80.99,128.5,21.15,17.18,0.81,38.91,169.24172413793102
59.49,87.24,21.23,16.4,0.73,32.9,99.13827586206898
35.27,54.7,20.36,17.26,0.63,26.2,58.2148275862069
24.02,46.54,17.02,17.58,0.55,21.02,46.54
28.45,79.7,30.23,15.14,0.66,17.99,79.7
28.43,90.61,28.09,15.39,0.63,19.8,90.61
30.93,57.0,19.36,15.96,0.58,24.83,57.0
76.69,121.32,16.12,16.66,0.71,50.2,154.56241379310345
72.14,116.05,20.2,17.11,0.69,48.27,139.0296551724138
80.69,126.04,17.64,17.89,0.61,55.82,168.21758620689656
101.07,150.8,16.38,16.61,0.64,68.65,235.37689655172412
66.02,133.8,32.09,16.4,0.72,65.16,122.79328859060404
68.49,126.22,29.15,17.49,0.65,82.99,126.56931034482757
81.67,140.84,32.91,17.83,0.66,80.31,171.56310344827585
67.02,120.02,28.26,18.6,0.63,78.91,121.55103448275861
50.31,90.1,26.08,16.5,0.56,35.34,90.1
26.94,43.13,16.68,16.81,0.39,17.81,44.900000000000006
21.85,43.03,20.57,16.0,0.45,28.9,43.03
19.72,35.83,17.42,18.24,0.37,30.48,35.83
24.44,52.41,16.99,17.35,0.43,38.34,52.41
34.96,80.97,15.77,16.15,0.46,46.07,80.97
27.82,62.8,28.38,16.76,0.54,23.09,62.8
24.08,60.64,25.55,16.87,0.44,39.78,60.64
22.48,56.05,18.61,28.4,0.4,56.2,56.2
39.58,81.03,15.75,15.29,0.39,54.46,81.03
84.26,145.48,20.12,11.42,0.64,27.68,180.40482758620692
81.2,137.96,25.21,22.41,0.64,40.86,169.95862068965516
86.13,152.3,41.3,12.53,0.72,37.13,186.78862068965515
77.44,142.07,40.5,15.41,0.64,36.76,157.12275862068964
53.63,109.08,44.26,14.57,0.57,38.39,106.36859060402685
64.69,165.63,58.37,11.12,0.64,30.93,143.94208053691275
82.54,162.4,53.24,16.37,0.75,36.25,174.53310344827588
107.68,204.05,62.21,16.71,0.85,31.2,257.94206896551725
52.52,120.64,52.95,17.84,0.76,37.94,114.04939597315436
102.11,231.07,90.02,16.33,1.06,31.23,238.92724137931035
114.05,226.86,79.39,15.14,1.12,25.89,279.68793103448274
107.38,205.48,64.99,10.36,0.97,29.51,256.91793103448276
75.28,149.07,56.17,12.45,0.76,19.28,149.74896551724137
67.93,129.44,52.81,16.23,0.74,20.68,124.65758620689658
63.18,137.52,52.16,10.96,0.73,22.54,125.26496644295302
65.82,145.76,54.76,11.66,0.71,24.75,130.73986577181208
54.87,101.28,23.56,15.18,0.54,29.07,101.18604026845638
54.47,110.73,19.23,16.34,0.52,27.89,107.46489932885906
29.44,67.26,21.2,16.97,0.45,30.72,67.26
58.93,99.24,21.1,18.05,0.54,36.56,99.24
68.36,111.33,21.6,20.32,0.54,36.29,126.1255172413793
75.22,125.7,34.56,25.73,0.66,36.69,149.54413793103447
61.2,112.87,36.17,20.03,0.56,46.42,108.88677852348994
71.0,135.67,44.66,16.44,0.73,41.23,135.13793103448276
87.15,190.14,62.16,15.59,0.82,14.04,190.27068965517242
73.23,125.09,33.01,16.63,0.69,40.66,142.75068965517244
114.11,194.57,50.4,17.41,0.88,30.85,279.8927586206896
61.06,129.72,56.59,12.94,0.7,24.03,120.08241610738256
34.95,80.62,37.24,15.29,0.55,16.26,80.62
25.7,56.9,21.22,14.59,0.41,21.54,56.9
31.65,64.89,25.61,16.32,0.49,20.09,64.89
38.27,59.88,20.03,16.1,0.59,18.45,63.28379310344828
35.72,60.45,13.15,15.87,0.37,23.09,60.45
43.82,69.64,11.38,17.27,0.44,29.85,72.66137931034483
67.81,107.46,21.12,18.62,0.51,35.23,124.24793103448276
72.77,115.85,26.71,19.61,0.56,36.88,141.1803448275862
94.97,197.08,69.64,27.08,0.78,27.19,214.55275862068964
98.01,170.5,61.06,17.72,0.69,22.46,224.93068965517244
81.7,163.36,51.78,24.49,0.68,13.53,171.66551724137932
75.68,143.77,50.24,27.66,0.66,18.26,151.1144827586207
69.07,164.29,49.68,17.76,0.63,12.44,143.05174496644295
49.97,98.78,34.02,19.25,0.46,16.55,98.78
46.53,92.74,27.17,14.98,0.42,23.91,92.74
31.73,78.75,22.19,15.59,0.41,24.23,78.75
65.04,213.11,37.43,17.56,0.47,26.69,175.48919463087248
75.18,188.27,23.48,19.15,0.49,41.05,158.98476510067115
53.06,126.12,38.73,18.52,0.55,38.31,117.69046979865772
82.59,215.46,67.13,13.97,0.67,33.15,177.05060402684563
91.96,231.97,69.58,12.32,0.73,27.2,204.2772413793103
61.68,160.5,61.84,16.17,0.74,15.43,140.53355704697987
40.42,106.76,48.07,15.04,0.3,17.44,104.82711409395974
27.89,65.7,36.65,14.5,0.35,17.22,65.7
37.21,96.87,46.31,12.93,0.48,11.42,96.87
32.24,105.94,35.92,14.52,0.41,27.32,104.28228187919463
53.54,114.8,61.41,13.25,0.59,36.16,110.16912751677852
51.94,153.91,57.38,11.6,0.54,25.64,136.15496644295303
51.23,166.28,54.75,9.52,0.45,31.48,144.37395973154364
59.62,170.89,62.32,12.09,0.51,40.46,147.4369798657718
39.82,137.86,47.39,10.69,0.31,20.01,125.4908724832215
75.23,135.46,18.07,15.68,0.39,44.27,149.57827586206898
60.95,117.77,27.37,17.03,0.44,47.55,112.14248322147651
53.02,134.24,49.9,14.35,0.45,45.06,123.08563758389262
59.12,133.87,62.28,15.8,0.59,42.42,122.83979865771812
87.4,205.26,79.43,14.1,0.66,53.85,191.1241379310345
84.53,189.84,64.95,9.64,0.56,28.39,181.32655172413791
81.87,164.43,48.02,16.21,0.53,34.13,172.24586206896555
82.86,149.84,36.57,15.02,0.39,39.96,175.62551724137933
85.97,186.49,50.7,17.68,0.48,19.78,186.24241379310342
56.25,113.99,47.77,14.9,0.43,19.8,109.63093959731543
51.24,104.86,31.92,14.73,0.4,29.58,103.56469798657719
41.59,106.04,37.33,11.18,0.24,16.61,104.34872483221477
30.44,75.06,32.76,15.71,0.37,15.67,75.06
40.77,102.09,42.77,13.1,0.38,16.79,101.72422818791946
43.76,115.71,47.13,10.96,0.42,20.82,110.77375838926174
33.87,92.09,42.32,13.82,0.43,14.83,92.09
50.98,143.62,67.35,10.49,0.54,106.73,129.31798657718122
