country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB","27-01-2026 09:00:00",23.555190,74.440010,NH3,9,16,11
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB","27-01-2026 09:00:00",23.555190,74.440010,CO,21,110,28
India,Odisha,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB","27-01-2026 09:00:00",21.643900,85.599355,CO,1,64,30
India,Odisha,Rourkela,"Fertilizer Township, Rourkela - OSPCB","27-01-2026 09:00:00",22.18972222,84.86277778,NO2,11,11,11
India,Odisha,Rourkela,"Fertilizer Township, Rourkela - OSPCB","27-01-2026 09:00:00",22.18972222,84.86277778,CO,20,40,21
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB","27-01-2026 09:00:00",22.220833,84.809444,PM2.5,146,323,244
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB","27-01-2026 09:00:00",22.220833,84.809444,CO,52,117,87
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB","27-01-2026 09:00:00",21.606865,85.510538,NO2,8,8,8
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB","27-01-2026 09:00:00",21.606865,85.510538,SO2,6,94,24
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB","27-01-2026 09:00:00",21.606865,85.510538,OZONE,8,136,46
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB","27-01-2026 09:00:00",25.435774,75.644272,PM10,84,137,111
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB","27-01-2026 09:00:00",25.435774,75.644272,NH3,3,5,4
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB","27-01-2026 09:00:00",25.435774,75.644272,CO,22,46,31
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB","27-01-2026 09:00:00",24.892047,74.623527,CO,25,62,39
